pos,sql,local,localopt
testdata/logic_test/rows_from:22,"SELECT * FROM ROWS FROM (generate_series(1,0), generate_series(1,0))",7078,11524
testdata/logic_test/join:638,SELECT * FROM pairs FULL OUTER JOIN square ON pairs.a + pairs.b = square.sq WHERE pairs.b%2 <> squar,34083,70530
testdata/logic_test/collatedstring_uniqueindex1:90,"SELECT b, a FROM t ORDER BY b, a",14144,18938
testdata/logic_test/aggregate:186,SELECT 3 FROM kv HAVING TRUE,9444,23979
testdata/logic_test/where:63,SELECT 'hello' LIKE v FROM kvString WHERE k LIKE 'like%' ORDER BY k,23741,43523
testdata/logic_test/update:92,SELECT * FROM kv2,5625,9878
testdata/logic_test/postgres_jsonb:49,SELECT test_json ->> 'field2' FROM test_jsonb WHERE json_type = 'array',27112,52578
testdata/logic_test/postgres_jsonb:136,SELECT (test_json->3) IS NULL AS expect_false FROM test_jsonb WHERE json_type = 'array';,30673,60756
testdata/logic_test/aggregate:108,SELECT array_agg(NULL::TEXT) FROM (VALUES (1)) AS t(x),11451,61657
testdata/logic_test/where:96,"SELECT * FROM ab WHERE a IN (1, 3, 4)",22447,31172
testdata/logic_test/views:55,SELECT * FROM v6,31634,32305
testdata/logic_test/join:1011,"SELECT * FROM foo JOIN bar USING (a, b, c)",30635,72367
testdata/logic_test/collatedstring_index1:151,"SELECT a, b FROM t ORDER BY a, b",13122,18290
testdata/logic_test/aggregate:246,"SELECT count(*), kv.s FROM kv GROUP BY s",18291,27986
testdata/logic_test/aggregate:1145,"SELECT 1 FROM kv GROUP BY v, w::DECIMAL HAVING w::DECIMAL > 1",27690,65212
testdata/logic_test/tuple:851,"SELECT (x).a, (x).b     FROM (SELECT (ROW(a, b) AS a, b) AS x FROM (VALUES (1, 'one')) AS t(a, b))",13914,33839
testdata/logic_test/select_index:449,"SELECT a, b, d FROM noncover WHERE b=2 ORDER BY b",33010,41040
testdata/logic_test/insert:298,SELECT * FROM kview,8946,16357
testdata/logic_test/default:64,"SELECT a, b <= now(), c >= 0.0 FROM t WHERE a = 1",40862,65336
testdata/logic_test/collatedstring_uniqueindex2:90,"SELECT b, a FROM t ORDER BY b, a",14123,19062
testdata/logic_test/aggregate:979,SELECT min(v) FROM opt_test GROUP BY k,14773,30870
testdata/logic_test/aggregate:535,SELECT count(k)+count(kv.v) FROM kv,22046,47507
testdata/logic_test/upsert:157,"SELECT * FROM kv ORDER BY (k, v)",13639,15984
testdata/logic_test/suboperators:167,"SELECT 1 = ANY(SELECT * FROM unnest(ARRAY[NULL, NULL]))",12860,30747
testdata/logic_test/suboperators:172,SELECT * FROM abc WHERE a = ANY(SELECT a FROM abc WHERE b = 10),39002,82320
testdata/logic_test/optimizer:69,SELECT * FROM test.t WHERE 2*v > (SELECT max(v) FROM test.t),68973,74188
testdata/logic_test/join:372,"SELECT * FROM a FULL OUTER JOIN b ON (a.i = b.i and a.i>2) ORDER BY a.i, b.i",32390,65856
testdata/logic_test/distinct:50,"SELECT DISTINCT y, z FROM xyz ORDER BY z",23768,20696
testdata/logic_test/aggregate:973,SELECT min(v) FROM opt_test WHERE k <> 4,41874,83759
testdata/logic_test/uuid:70,SELECT token2 FROM u WHERE token2='63616665-6630-3064-6465-616462656563',25734,40053
testdata/logic_test/select_index:443,SELECT a FROM noncover WHERE b=2 ORDER BY c DESC,32554,51125
testdata/logic_test/scale:125,SELECT d FROM td,6086,10550
testdata/logic_test/join:214,SELECT * FROM empty AS a(x) LEFT OUTER JOIN onecolumn AS b(y) ON a.x = b.y,20357,46037
testdata/logic_test/datetime:577,"SELECT k, date_trunc(element, input::date) = date_trunc_result::date, date_trunc(element, input::dat",43085,77834
testdata/logic_test/aggregate:41,SELECT array_agg(v) FROM kv,14475,25979
testdata/logic_test/json:486,SELECT true FROM x WHERE j->'a' @> '2'::JSONB,22177,36542
testdata/logic_test/insert:307,SELECT * FROM kview,8664,16294
testdata/logic_test/views:76,SELECT * FROM v2 ORDER BY x DESC LIMIT 1,23954,29296
testdata/logic_test/upsert:445,SELECT * FROM issue_14052_2;,6889,8055
testdata/logic_test/update:27,SELECT * FROM kv,5397,8069
testdata/logic_test/tuple:463,"SELECT * FROM uvw WHERE (u, v, w) <= (2, 3, 1) ORDER BY u, v, w",45250,63612
testdata/logic_test/select:601,SELECT * FROM c WHERE str >= 'moo',19928,25324
testdata/logic_test/ordinality:44,SELECT * FROM (SELECT x||x FROM foo) WITH ORDINALITY,14868,23423
testdata/logic_test/datetime:529,"SELECT k, date_trunc(element, input::timestamptz) = date_trunc_result, date_trunc(element, input::ti",43111,74259
testdata/logic_test/computed:583,SELECT d FROM x,7543,11736
testdata/logic_test/aggregate:393,"SELECT max(k), min(v) FROM kv HAVING max(v) > 2",33339,64379
testdata/logic_test/select_index:455,"SELECT a, b FROM noncover WHERE b=2 AND d>3 ORDER BY b",44168,64222
testdata/logic_test/aggregate:488,"SELECT count(DISTINCT k), count(DISTINCT v), count(DISTINCT (v)) FROM kv",25708,38439
testdata/logic_test/system:51,SELECT id FROM system.descriptor,158592,162528
testdata/logic_test/computed:170,"SELECT a, b, c FROM x",10474,11157
testdata/logic_test/txn:61,SELECT * FROM kv,5437,7770
testdata/logic_test/delete:45,SELECT * FROM kview,21281,22346
testdata/logic_test/database:101,SELECT * FROM b.a,4132,6305
testdata/logic_test/show_trace:104,"SELECT operation,        regexp_replace(regexp_replace(message, 'mutationJobs:<[^>]*>', 'mutationJob",24183,53622
testdata/logic_test/computed:205,"SELECT a, b, c, d FROM x",10459,10383
testdata/logic_test/collatedstring_index2:120,"SELECT a, b FROM t ORDER BY a, b",14165,18119
testdata/logic_test/builtin_function:1925,"SELECT i FROM (VALUES   (sha512(NULL::string)),   (sha512(true::string)),   (sha512(false::string)),",16403,75095
testdata/logic_test/views:130,SELECT * FROM test.v1,19193,20627
testdata/logic_test/tuple:863,"SELECT (x).a, (x).b     FROM (SELECT (ROW(a, b) AS a, b) AS x FROM t) ORDER BY 1    LIMIT 1",17499,52742
testdata/logic_test/interleaved:295,SELECT * FROM orders WHERE customer = 1 AND id = 1000,32291,36709
testdata/logic_test/datetime:185,SELECT k FROM kv,6317,9931
testdata/logic_test/collatedstring_uniqueindex2:108,"SELECT a, b FROM t ORDER BY a, b",14274,17735
testdata/logic_test/srfs:577,"SELECT * FROM generate_subscripts(ARRAY[3,2,1], 1, false)",7130,13786
testdata/logic_test/target_names:41,SELECT (pg_get_keywords()).word FROM t,12415,39919
testdata/logic_test/ordinality:71,SELECT * FROM (SELECT * FROM foo WHERE x > 'a') WITH ORDINALITY,22269,32016
testdata/logic_test/datetime:491,"SELECT k, date_trunc(element, input::timestamp) = date_trunc_result, date_trunc(element, input::time",42407,73607
testdata/logic_test/computed:575,SELECT d FROM x,7522,11392
testdata/logic_test/aggregate:610,SELECT max(v) FROM kv GROUP BY k HAVING k=100,35189,60988
testdata/logic_test/where:69,SELECT 'hello' SIMILAR TO v FROM kvString WHERE k SIMILAR TO 'like[1-2]' ORDER BY k,32091,52886
testdata/logic_test/order_by:127,"SELECT a, b, a+b AS ab FROM t WHERE b = 7 ORDER BY ab DESC, a",32675,85131
testdata/logic_test/join:230,SELECT * FROM empty AS a(x) FULL OUTER JOIN onecolumn AS b(y) ON a.x = b.y ORDER BY b.y,24679,55731
testdata/logic_test/aggregate:343,"SELECT count(*), k+v FROM kv GROUP BY k, v",26879,50033
testdata/logic_test/update:72,SELECT * FROM kview,20636,22326
testdata/logic_test/distinct:21,"SELECT y, z FROM xyz",8446,12451
testdata/logic_test/distinct:124,SELECT count(*) FROM (SELECT DISTINCT y FROM xyz),15583,29756
testdata/logic_test/aggregate:798,"SELECT round(variance(n), 2), round(variance(n), 2), round(variance(p)) FROM mnop",32431,63582
testdata/logic_test/aggregate:1011,"SELECT to_hex(xor_agg(a)), b, xor_agg(c) FROM xor_bytes GROUP BY b ORDER BY b",28847,51255
testdata/logic_test/where:103,"SELECT * FROM ab WHERE a IN (1, 3, 4, NULL)",24896,37595
testdata/logic_test/postgres_jsonb:89,SELECT test_json ->> 'field4' FROM test_jsonb WHERE json_type = 'object',26105,49700
testdata/logic_test/distinct:135,SELECT DISTINCT v FROM kv,6914,14226
testdata/logic_test/datetime:190,SELECT k FROM kv where v = transaction_timestamp(),21496,28499
testdata/logic_test/subquery:412,SELECT x FROM xyz WHERE x IN (SELECT x FROM xyz WHERE x = 7),39609,86377
testdata/logic_test/suboperators:301,"SELECT 1 = ALL(SELECT * FROM unnest(ARRAY[1,1,1]))",12727,24900
testdata/logic_test/schema_change_in_txn:356,SELECT * FROM want,6611,8444
testdata/logic_test/parallel_stmts:250,"SELECT k, v FROM kv ORDER BY k",9047,10243
testdata/logic_test/limit:26,"SELECT generate_series FROM generate_series(1, 100) ORDER BY generate_series OFFSET 3 ROWS FETCH NEX",6838,18127
testdata/logic_test/aggregate:1124,"SELECT z, max(y) FROM group_ord@foo GROUP BY z",21316,34191
testdata/logic_test/aggregate:1112,"SELECT z, x, max(y) FROM group_ord GROUP BY x, z ORDER BY x",25194,36742
testdata/logic_test/zero:149,SELECT v FROM didx ORDER BY INDEX didx@vidx,14829,17343
testdata/logic_test/upsert:486,SELECT * FROM issue_17339 ORDER BY a;,7509,9595
testdata/logic_test/tuple:223,"SELECT k, v FROM kv WHERE (k, v) IN ((1, 100))",26332,38192
testdata/logic_test/select_index_flags:19,SELECT * FROM abcd WHERE a >= 20 AND a <= 30,29969,39787
testdata/logic_test/join:385,"SELECT * FROM a RIGHT OUTER JOIN b ON a.i=b.i ORDER BY b.i, b.b",24808,52488
testdata/logic_test/computed:65,SELECT c FROM with_no_column_refs,6999,10942
testdata/logic_test/aggregate:804,"SELECT round(stddev(n), 2), round(stddev(n), 2), round(stddev(p)) FROM mnop",30125,58892
testdata/logic_test/union:162,SELECT v FROM uniontest WHERE k = 1 INTERSECT ALL SELECT v FROM uniontest WHERE k = 2,40753,68042
testdata/logic_test/tuple:840,"SELECT (x).* FROM (   SELECT ((1,'2',true) AS e,f,g) AS x FROM tb )",15427,41151
testdata/logic_test/schema_change_in_txn:55,SELECT * FROM test.kv@foo,9700,16941
testdata/logic_test/join:51,SELECT * FROM onecolumn AS a(x) LEFT OUTER JOIN onecolumn AS b(y) ON a.x = b.y,19817,48405
testdata/logic_test/distinct_on:116,"SELECT DISTINCT ON (x, y) y FROM xyz",13412,21022
testdata/logic_test/aggregate:262,"SELECT count(*), kv.s FROM kv GROUP BY kv.s",17073,28136
testdata/logic_test/select:546,"SELECT x, x + 1, y, y + 1, x + y FROM a",24189,41156
testdata/logic_test/distinct:104,"SELECT DISTINCT y,z FROM xyz",8787,16229
testdata/logic_test/decimal:72,SELECT * FROM t ORDER BY d,9419,13412
testdata/logic_test/where:29,SELECT * FROM kv WHERE False,8024,11106
testdata/logic_test/subquery:299,"SELECT * FROM (VALUES (1, 2)) AS foo",4102,7679
testdata/logic_test/subquery:381,"SELECT * FROM (SELECT * FROM (VALUES (1, 8, 8), (3, 1, 1), (2, 4, 4)) AS moo (moo1, moo2, moo3) ORDE",12733,20200
testdata/logic_test/json:180,SELECT a FROM multiple,6426,9155
testdata/logic_test/distinct_on:202,"SELECT DISTINCT ON (x) y, z, x FROM xyz ORDER BY x ASC, z DESC, y DESC",16471,29673
testdata/logic_test/computed:219,"SELECT a, b, c, d FROM x",9345,9133
testdata/logic_test/aggregate:369,"SELECT count(kv.k) AS count_1, kv.v + kv.w AS lx FROM kv GROUP BY kv.v + kv.w",27296,49934
testdata/logic_test/time:225,SELECT * FROM times ORDER BY t,6573,8281
testdata/logic_test/storing:45,"SELECT a, b, d FROM t@d_idx",12179,15592
testdata/logic_test/alter_column_type:27,SELECT * FROM t,28476,12727
testdata/logic_test/tuple:822,SELECT ((ROW(1) AS a)).* FROM tb,6609,16501
testdata/logic_test/select:126,SELECT v||'foo' FROM kv,14762,33299
testdata/logic_test/select:167,SELECT test.kv.* FROM test.public.kv,6482,9944
testdata/logic_test/select:439,SELECT NULL::int NOT IN (SELECT * FROM (VALUES (1)) AS t(a)),12956,28823
testdata/logic_test/join:950,SELECT * FROM l RIGHT OUTER JOIN r USING(a) WHERE a = 3,33095,69221
testdata/logic_test/subquery:354,"SELECT * FROM (SELECT * FROM xyz AS moo (moo1, moo2, moo3)) as foo (foo1) WHERE foo1 < 7",22799,23995
testdata/logic_test/join:1004,"SELECT * FROM foo JOIN bar USING (a, b)",31086,61195
testdata/logic_test/builtin_function:1400,"SELECT current_schemas(x) FROM (VALUES (true), (false)) AS t(x);",6340,18830
testdata/logic_test/aggregate:254,"SELECT count(*), s FROM kv GROUP BY kv.s",17514,27038
testdata/logic_test/subquery:260,SELECT * FROM xyz WHERE x = (SELECT min(x) FROM xyz),48168,63224
testdata/logic_test/show_trace:413,"SELECT operation, regexp_replace(regexp_replace(regexp_replace(message, 'mutationJobs:<[^>]*>', 'mut",31345,63455
testdata/logic_test/select:291,SELECT * FROM (SELECT * FROM xyzw LIMIT 5) OFFSET 5,12677,18928
testdata/logic_test/aggregate:731,SELECT min(y) FROM xyz WHERE x = 7,43164,87466
testdata/logic_test/views:138,SELECT * FROM test.v2,20607,20975
testdata/logic_test/subquery:396,"SELECT foo.a FROM (VALUES (1), (2), (3)) AS foo (a)",4436,9810
testdata/logic_test/rename_table:35,SELECT * FROM new_kv,5682,9070
testdata/logic_test/views:240,SELECT * FROM v1,20207,20266
testdata/logic_test/union:187,SELECT v FROM uniontest WHERE k = 1 UNION ALL SELECT v FROM uniontest WHERE k = 2 ORDER BY 1 DESC LI,45292,79288
testdata/logic_test/truncate:133,SELECT * FROM d,3858,6484
testdata/logic_test/select:424,"SELECT (NULL::int, 1) IN (SELECT * FROM (VALUES (1, 1)) AS t(a, b))",16028,44524
testdata/logic_test/join:940,SELECT * FROM l LEFT OUTER JOIN r USING(a) WHERE a = 1,31405,71675
testdata/logic_test/collatedstring:303,SELECT a FROM foo,5965,9712
testdata/logic_test/tuple:253,SELECT 4 IN (SELECT c FROM t ORDER BY 1 DESC) AS r,18954,38099
testdata/logic_test/srfs:316,SELECT * FROM upper('abc'),4983,9912
testdata/logic_test/ordinal_references:62,SELECT sum(a) AS s FROM foo GROUP BY @2 ORDER BY s,16344,39665
testdata/logic_test/typing:28,SELECT * FROM i,5844,8950
testdata/logic_test/select:152,SELECT test.kv.* FROM kv,6293,10168
testdata/logic_test/order_by:267,"SELECT * FROM bar ORDER BY baz, id",8323,13142
testdata/logic_test/upsert:476,SELECT * FROM issue_17339 ORDER BY a;,7498,9505
testdata/logic_test/order_by:36,"SELECT a, b FROM t ORDER BY b",11353,14640
testdata/logic_test/as_of:21,SELECT * FROM t AS OF SYSTEM TIME INTERVAL '-1ns',209531,217788
testdata/logic_test/show_source:258,SELECT * FROM [SHOW COMPACT TRACE FOR SESSION] LIMIT 0,5999,7804
testdata/logic_test/join:825,"SELECT * FROM xyu INNER JOIN xyv USING(x, y) WHERE x > 2",51735,103336
testdata/logic_test/array:643,SELECT b FROM a,5862,12232
testdata/logic_test/aggregate:463,"SELECT v, count(k) FROM kv GROUP BY v ORDER BY v-count(k)",30531,51287
testdata/logic_test/subquery:286,SELECT EXISTS(SELECT 1 FROM kv AS x WHERE x.k = 1),25744,47486
testdata/logic_test/no_primary_key:30,SELECT count(rowid) FROM t,13441,21192
testdata/logic_test/join:907,"SELECT * FROM (SELECT * FROM xyu ORDER BY x, y) AS xyu LEFT OUTER JOIN (SELECT * FROM xyv ORDER BY x",82562,137591
testdata/logic_test/array:911,SELECT b FROM a,7262,11585
testdata/logic_test/rename_index:80,SELECT * FROM users,6011,11519
testdata/logic_test/parallel_stmts:303,"SELECT k, v FROM kv ORDER BY k",8682,10504
testdata/logic_test/union:198,SELECT * FROM (VALUES (1)) a LEFT JOIN (VALUES (1) UNION VALUES (2)) b on a.column1 = b.column1;,16010,43560
testdata/logic_test/storing:144,"SELECT a, b FROM t14601a ORDER BY a",13250,16500
testdata/logic_test/select_index:471,SELECT * FROM noncover WHERE c > 0 AND d = 8,43409,47700
testdata/logic_test/schema_change_in_txn:144,SELECT * FROM test.stock@bar,12442,20643
testdata/logic_test/join:601,"SELECT * FROM pairs, square WHERE pairs.a + pairs.b = square.sq",28838,47377
testdata/logic_test/family:79,SELECT * FROM abcd WHERE a = 1,22416,30174
testdata/logic_test/postgresjoin:1877,"SELECT * FROM (SELECT name, n as s1_n FROM t1) as s1 NATURAL FULL JOIN (SELECT * FROM (SELECT name, ",59895,95047
testdata/logic_test/database:153,SELECT * FROM b.a,4005,7123
testdata/logic_test/suboperators:101,"SELECT * FROM abc WHERE a = ANY(ARRAY[4, NULL])",23809,29591
testdata/logic_test/select_index:220,SELECT * FROM abcd@abcd WHERE a IS NULL AND b < 5,38197,49695
testdata/logic_test/postgres_jsonb:59,SELECT test_json -> 2 FROM test_jsonb WHERE json_type = 'scalar',25314,50791
testdata/logic_test/fk:385,SELECT count(*) FROM delivery,9212,21216
testdata/logic_test/srfs:613,"SELECT * FROM generate_subscripts(ARRAY[3,2,1], 2)",6625,13644
testdata/logic_test/suboperators:356,"SELECT * FROM abc WHERE a > ALL(SELECT * FROM unnest(ARRAY[NULL, NULL]))",27305,48038
testdata/logic_test/serial:179,"SELECT count(DISTINCT a), count(DISTINCT b), count(DISTINCT c) FROM serials",33144,40129
testdata/logic_test/schema_change_in_txn:414,SELECT * FROM student,6983,9508
testdata/logic_test/collatedstring_index1:120,"SELECT a, b FROM t ORDER BY a, b",14075,18210
testdata/logic_test/aggregate:279,"SELECT v, count(*), w FROM kv GROUP BY v, w",23055,29004
testdata/logic_test/join:1025,SELECT * FROM foo JOIN bar ON foo.a = bar.a AND foo.b = bar.b,33298,68098
testdata/logic_test/array:675,SELECT b FROM a,6739,13703
testdata/logic_test/views:101,SELECT x FROM v7 ORDER BY x LIMIT 1,42614,52581
testdata/logic_test/upsert:251,"SELECT * FROM abc ORDER BY (a, b, c)",18541,20020
testdata/logic_test/suboperators:195,SELECT * FROM abc WHERE a >= ALL(SELECT a FROM abc WHERE a IS NOT NULL) OR b=10,51768,150390
testdata/logic_test/select_index:15,SELECT a FROM t WHERE a < 4.0,27084,34287
testdata/logic_test/rename_column:15,SELECT * FROM users,6123,8366
testdata/logic_test/join:418,"SELECT * FROM onecolumn JOIN (VALUES (41),(42),(43)) AS a(x) USING(x)",13467,49913
testdata/logic_test/aggregate:134,"SELECT count(*), COALESCE(max(k), 1) FROM kv",24251,56591
testdata/logic_test/select_index:308,"SELECT * FROM xy WHERE (x, y) IN ((NULL, NULL), (1, NULL), (NULL, 1), (1, 1), (1, 2))",51695,77419
testdata/logic_test/multi_statement:27,SELECT * FROM kv,5050,8201
testdata/logic_test/decimal:176,SELECT * FROM s WHERE d = 'inf'::decimal,22432,36675
testdata/logic_test/array:783,"SELECT * FROM unnest(ARRAY['a', 'B']) ORDER BY UNNEST;",5539,11594
testdata/logic_test/alter_table:80,SELECT * FROM t,7663,11134
testdata/logic_test/float:103,"SELECT f, f::string FROM vals",9801,21850
testdata/logic_test/decimal:340,SELECT * FROM a,5778,9693
testdata/logic_test/views:47,SELECT * FROM v2,18911,19937
testdata/logic_test/views:95,SELECT x FROM v7,45061,50474
testdata/logic_test/select_index:348,SELECT * FROM bool1 WHERE a IS NOT FALSE,21959,32294
testdata/logic_test/order_by:13,SELECT c FROM t ORDER BY c,9852,13190
testdata/logic_test/limit:59,"SELECT k, v FROM t ORDER BY k LIMIT 5",13921,21393
testdata/logic_test/interleaved:142,SELECT * FROM p0,8270,10604
testdata/logic_test/truncate:23,SELECT * FROM kview,20790,19173
testdata/logic_test/poison_after_push:37,SELECT * FROM t,4075,7320
testdata/logic_test/distinct_on:63,"SELECT DISTINCT ON (z, y, x) z FROM xyz",14616,26530
testdata/logic_test/tuple:183,"SELECT ((1, 2), 'equal') = ((1, 2.1), 'equal') AS a   FROM tb",22601,53925
testdata/logic_test/select:146,SELECT kv.* FROM kv,6611,9498
testdata/logic_test/join:431,SELECT * FROM (twocolumn AS a JOIN twocolumn AS b USING(x) JOIN twocolumn AS c USING(x)) ORDER BY x ,31372,87958
testdata/logic_test/datetime:885,SELECT d::timestamp FROM u WHERE a = 123,23094,47051
testdata/logic_test/array:464,SELECT b FROM a,7590,11265
testdata/logic_test/where:52,"SELECT * FROM kv WHERE (k,v) IN (SELECT * FROM kv)",29260,51794
testdata/logic_test/tuple:519,"SELECT * FROM uvw WHERE (u, v, w) != (1, 2, 3) ORDER BY u, v, w",50480,66536
testdata/logic_test/rename_table:145,SELECT * FROM test2.t2,5688,8694
testdata/logic_test/collatedstring_index2:158,"SELECT b, a FROM t ORDER BY b, a",12787,19755
testdata/logic_test/aggregate:120,"SELECT count_rows() FROM generate_series(1,100)",7464,18965
testdata/logic_test/aggregate:753,"SELECT variance(x), variance(y::decimal), round(variance(z), 14) FROM xyz",29354,64591
testdata/logic_test/update:298,SELECT * FROM lots,10304,13072
testdata/logic_test/select:278,SELECT * FROM xyzw ORDER BY y OFFSET 1 LIMIT 1,12436,20014
testdata/logic_test/schema_change_in_txn:190,SELECT * FROM warehouse@bar,5761,9393
testdata/logic_test/aggregate:551,"SELECT min(k), max(k), min(v), max(v) FROM kv WHERE k > 8",44270,64356
testdata/logic_test/aggregate:576,SELECT jsonb_agg(s) FROM kv WHERE s IS NULL,25505,43976
testdata/logic_test/tuple:831,"SELECT (x).e, (x).f, (x).g FROM (   SELECT ((1,'2',true) AS e,f,g) AS x FROM tb )",16518,45337
testdata/logic_test/suboperators:188,SELECT * FROM abc WHERE a > ANY(SELECT a FROM abc WHERE b = 20) OR b IS NULL,49625,178100
testdata/logic_test/schema_change_in_txn:136,SELECT * FROM test.stock@idx_quantity,12843,21145
testdata/logic_test/collatedstring_index1:74,"SELECT a, b FROM t ORDER BY a, b",17154,17839
testdata/logic_test/multi_statement:37,SELECT * FROM kv,4942,7976
testdata/logic_test/aggregate:556,"SELECT array_agg(k), array_agg(s) FROM (SELECT k, s FROM kv ORDER BY k)",27412,38267
testdata/logic_test/srfs:648,"SELECT * FROM generate_subscripts(ARRAY[3,2,1], -1, false)",12013,15620
testdata/logic_test/union:193,SELECT * FROM (SELECT * FROM (VALUES (1)) a LEFT JOIN (VALUES (1) UNION VALUES (2)) b on a.column1 =,18346,44645
testdata/logic_test/subquery:255,SELECT 1 IN (SELECT x FROM xyz ORDER BY x DESC),17514,30777
testdata/logic_test/ordinality:31,SELECT max(ordinality) FROM foo WITH ORDINALITY,16872,35421
testdata/logic_test/join:107,SELECT * FROM onecolumn AS a NATURAL JOIN onecolumn_w as b,11939,26477
testdata/logic_test/join:872,SELECT * FROM xyu RIGHT OUTER JOIN xyv ON xyu.x = xyv.x AND xyu.y = xyv.y AND xyu.x = 1 AND xyu.y < ,61082,118629
testdata/logic_test/join:945,SELECT * FROM l LEFT OUTER JOIN r USING(a) WHERE a = 2,48479,68644
testdata/logic_test/subquery:270,SELECT * FROM xyz WHERE x = (SELECT max(x) FROM xyz WHERE EXISTS(SELECT * FROM xyz WHERE z=x+3)),77091,95287
testdata/logic_test/select_index_flags:51,SELECT * FROM abcd@bcd WHERE a >= 20 AND a <= 30,32050,36437
testdata/logic_test/select:522,SELECT * FROM a WHERE y > 1,17705,24116
testdata/logic_test/select:529,SELECT * FROM a WHERE x > 1 AND x < 3,26080,33768
testdata/logic_test/rename_view:43,SELECT * FROM new_v,21718,22418
testdata/logic_test/datetime:434,"SELECT k, extract(element, input::timestamptz) = extract_result, extract(element, input::timestamptz",26988,45311
testdata/logic_test/suboperators:92,"SELECT * FROM abc WHERE a = ANY(ARRAY[4, 5])",22109,27018
testdata/logic_test/rename_index:99,SELECT * FROM users@pk,6469,9737
testdata/logic_test/family:62,SELECT * FROM abcd,6951,10043
testdata/logic_test/delete:82,SELECT * FROM unindexed,5552,9016
